"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1967-10","Oct-1967","IDX","Index","0","Units",,,100.507,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1967-11","Nov-1967","IDX","Index","0","Units",,,100.6548,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1967-12","Dec-1967","IDX","Index","0","Units",,,100.743,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1968-01","Jan-1968","IDX","Index","0","Units",,,100.7665,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1968-02","Feb-1968","IDX","Index","0","Units",,,100.7543,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1968-03","Mar-1968","IDX","Index","0","Units",,,100.7254,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1968-04","Apr-1968","IDX","Index","0","Units",,,100.6998,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1968-05","May-1968","IDX","Index","0","Units",,,100.7027,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1968-06","Jun-1968","IDX","Index","0","Units",,,100.7352,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1968-07","Jul-1968","IDX","Index","0","Units",,,100.8015,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1968-08","Aug-1968","IDX","Index","0","Units",,,100.9105,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1968-09","Sep-1968","IDX","Index","0","Units",,,101.0602,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1968-10","Oct-1968","IDX","Index","0","Units",,,101.2057,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1968-11","Nov-1968","IDX","Index","0","Units",,,101.2962,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1968-12","Dec-1968","IDX","Index","0","Units",,,101.314,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1969-01","Jan-1969","IDX","Index","0","Units",,,101.2648,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1969-02","Feb-1969","IDX","Index","0","Units",,,101.157,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1969-03","Mar-1969","IDX","Index","0","Units",,,100.9985,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1969-04","Apr-1969","IDX","Index","0","Units",,,100.7864,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1969-05","May-1969","IDX","Index","0","Units",,,100.527,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1969-06","Jun-1969","IDX","Index","0","Units",,,100.2605,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1969-07","Jul-1969","IDX","Index","0","Units",,,100.0196,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1969-08","Aug-1969","IDX","Index","0","Units",,,99.8166,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1969-09","Sep-1969","IDX","Index","0","Units",,,99.63433,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1969-10","Oct-1969","IDX","Index","0","Units",,,99.43607,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1969-11","Nov-1969","IDX","Index","0","Units",,,99.19988,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1969-12","Dec-1969","IDX","Index","0","Units",,,98.91852,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1970-01","Jan-1970","IDX","Index","0","Units",,,98.60301,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1970-02","Feb-1970","IDX","Index","0","Units",,,98.29119,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1970-03","Mar-1970","IDX","Index","0","Units",,,98.02168,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1970-04","Apr-1970","IDX","Index","0","Units",,,97.81174,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1970-05","May-1970","IDX","Index","0","Units",,,97.68465,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1970-06","Jun-1970","IDX","Index","0","Units",,,97.63455,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1970-07","Jul-1970","IDX","Index","0","Units",,,97.63822,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1970-08","Aug-1970","IDX","Index","0","Units",,,97.68875,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1970-09","Sep-1970","IDX","Index","0","Units",,,97.80015,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1970-10","Oct-1970","IDX","Index","0","Units",,,98.00136,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1970-11","Nov-1970","IDX","Index","0","Units",,,98.32697,,
